flores_code,name,script,family,macro_family
ilo_Latn,Ilocano,Latn,Austronesian,Austronesian
ind_Latn,Indonesian,Latn,Austronesian,Austronesian
isl_Latn,Icelandic,Latn,Germanic,Indo-European
ita_Latn,Italian,Latn,Romance,Indo-European
jav_Latn,Javanese,Latn,Austronesian,Austronesian
jpn_Jpan,Japanese,Jpan,Japonic,Japonic
kac_Latn,Jingpho,Latn,Sino-Tibetan,Sino-Tibetan
kan_Knda,Kannada,Knda,Dravidian,Dravidian
kat_Geor,Georgian,Geor,kartvelian,kartvelian
kaz_Cyrl,Kazakh,Cyrl,Turkic,Turkic
kea_Latn,Kabuverdianu,Latn,Portuguese Creole,Portuguese Creole
khk_Cyrl,Halh Mongolian,Cyrl,Mongolic,Mongolic-Khitan
khm_Khmr,Khmer,Khmr,Austroasiatic,Austroasiatic
kin_Latn,Kinyarwanda,Latn,Atlantic-Congo,Atlantic-Congo
kir_Cyrl,Kyrgyz,Cyrl,Turkic,Turkic
kor_Hang,Korean,Hang,Koreanic,Koreanic
lao_Laoo,Lao,Laoo,Kra-Dai,Tai-Kadai
lin_Latn,Lingala,Latn,Atlantic-Congo,Atlantic-Congo
lit_Latn,Lithuanian,Latn,Balto-Slavic,Balto-Slavic
lug_Latn,Ganda,Latn,Atlantic-Congo,Atlantic-Congo
luo_Latn,Luo,Latn,Nilo-Saharan,Nilotic
lvs_Latn,Standard Latvian,Latn,Balto-Slavic,Balto-Slavic
mal_Mlym,Malayalam,Mlym,Dravidian,Dravidian
mar_Deva,Marathi,Deva,Indo-Aryan,Indo-European
mkd_Cyrl,Macedonian,Cyrl,Balto-Slavic,Balto-Slavic
mlt_Latn,Maltese,Latn,Afro-Asiatic,Afro-Asiatic
mri_Latn,Maori,Latn,Austronesian,Austronesian
mya_Mymr,Burmese,Mymr,Sino-Tibetan,Sino-Tibetan
nld_Latn,Dutch,Latn,Germanic,Indo-European
nob_Latn,Norwegian Bokmål,Latn,Germanic,Indo-European
npi_Deva,Nepali,Deva,Indo-Aryan,Indo-European
npi_Latn^,Nepali (Romanized),Latn,Indo-Aryan,Indo-European
nso_Latn,Northern Sotho,Latn,Atlantic-Congo,Atlantic-Congo
nya_Latn,Nyanja,Latn,Afro-Asiatic,Afro-Asiatic
ory_Orya,Odia,Orya,Indo-Aryan,Indo-European
pan_Guru,Eastern Panjabi,Guru,Indo-Aryan,Indo-European
pbt_Arab,Southern Pashto,Arab,Indo-Aryan,Indo-European
pes_Arab,Western Persian,Arab,Iranian,Indo-European
plt_Latn,Plateau Malagasy,Latn,Austronesian,Austronesian
pol_Latn,Polish,Latn,Balto-Slavic,Balto-Slavic
por_Latn,Portuguese,Latn,Romance,Indo-European
ron_Latn,Romanian,Latn,Romance,Indo-European
rus_Cyrl,Russian,Cyrl,Balto-Slavic,Balto-Slavic
shn_Mymr,Shan,Mymr,Kra-Dai,Tai-Kadai
sin_Latn^,Sinhala (Romanized),Latn,Indo-Aryan,Indo-European
sin_Sinh,Sinhala,Sinh,Indo-Aryan,Indo-European
slk_Latn,Slovak,Latn,Balto-Slavic,Balto-Slavic
slv_Latn,Slovenian,Latn,Balto-Slavic,Balto-Slavic
sna_Latn,Shona,Latn,Atlantic-Congo,Atlantic-Congo
snd_Arab,Sindhi,Arab,Indo-Aryan,Indo-European
som_Latn,Somali,Latn,Afro-Asiatic,Afro-Asiatic
sot_Latn,Southern Sotho,Latn,Atlantic-Congo,Atlantic-Congo
spa_Latn,Spanish,Latn,Romance,Indo-European
srp_Cyrl,Serbian,Cyrl,Balto-Slavic,Balto-Slavic
ssw_Latn,Swati,Latn,Atlantic-Congo,Atlantic-Congo
sun_Latn,Sundanese,Latn,Austronesian,Austronesian
swe_Latn,Swedish,Latn,Germanic,Indo-European
swh_Latn,Swahili,Latn,Atlantic-Congo,Atlantic-Congo
tam_Taml,Tamil,Taml,Dravidian,Dravidian
tel_Telu,Telugu,Telu,Dravidian,Dravidian
tgk_Cyrl,Tajik,Cyrl,Iranian,Indo-European
tgl_Latn,Tagalog,Latn,Austronesian,Austronesian
tha_Thai,Thai,Thai,Kra-Dai,Tai-Kadai
tir_Ethi,Tigrinya,Ethi,Afro-Asiatic,Afro-Asiatic
tsn_Latn,Tswana,Latn,Atlantic-Congo,Atlantic-Congo
tso_Latn,Tsonga,Latn,Afro-Asiatic,Afro-Asiatic
tur_Latn,Turkish,Latn,Turkic,Turkic
ukr_Cyrl,Ukrainian,Cyrl,Balto-Slavic,Balto-Slavic
urd_Arab,Urdu,Arab,Indo-Aryan,Indo-European
urd_Latn^,Urdu (Romanized),Latn,Indo-Aryan,Indo-European
uzn_Latn,Northern Uzbek,Latn,Turkic,Turkic
vie_Latn,Vietnamese,Latn,Austroasiatic,Austroasiatic
war_Latn,Waray,Latn,Austronesian,Austronesian
wol_Latn,Wolof,Latn,Atlantic-Congo,Atlantic-Congo
xho_Latn,Xhosa,Latn,Atlantic-Congo,Atlantic-Congo
yor_Latn,Yoruba,Latn,Atlantic-Congo,Atlantic-Congo
zho_Hans,Chinese (Simplified),Hans,Sino-Tibetan,Sino-Tibetan
zho_Hant,Chinese (Traditional),Hant,Sino-Tibetan,Sino-Tibetan
zsm_Latn,Standard Malay,Latn,Austronesian,Austronesian
zul_Latn,Zulu,Latn,Atlantic-Congo,Atlantic-Congo
