flores_code,gemma2-9B,gemma1-7B,llama3.1-70B,llama3.1-8B,llama3-8B,llama2-7B,llama1-7B,mistral-7B,olmo-7B,avg
urd_Arab,0.83,0.66,0.88,0.76,0.73,0.02,0.02,0.31,0.03,0.47
jav_Latn,0.75,0.54,0.84,0.69,0.67,0.16,0.12,0.29,0.16,0.47
eus_Latn,0.82,0.66,0.84,0.74,0.71,0.10,0.08,0.18,0.05,0.47
sun_Latn,0.69,0.48,0.86,0.68,0.64,0.14,0.12,0.34,0.23,0.47
kea_Latn,0.64,0.51,0.78,0.60,0.64,0.16,0.19,0.45,0.18,0.46
ary_Arab,0.71,0.60,0.80,0.68,0.68,0.03,0.09,0.44,0.10,0.46
hat_Latn,0.74,0.47,0.86,0.65,0.61,0.15,0.12,0.36,0.09,0.45
mag_Deva,0.75,0.52,0.88,0.75,0.70,0.02,0.05,0.29,0.07,0.45
min_Latn,0.56,0.45,0.81,0.68,0.68,0.16,0.12,0.34,0.17,0.44
ban_Latn,0.48,0.32,0.82,0.62,0.63,0.17,0.15,0.42,0.30,0.43
bjn_Latn,0.60,0.51,0.78,0.62,0.60,0.14,0.12,0.31,0.21,0.43
azj_Latn,0.75,0.53,0.86,0.68,0.66,0.01,0.03,0.29,0.02,0.43
npi_Deva,0.81,0.59,0.82,0.62,0.64,0.02,0.02,0.20,0.05,0.42
mar_Deva,0.82,0.58,0.87,0.68,0.63,0.02,0.01,0.12,0.03,0.42
awa_Deva,0.73,0.53,0.83,0.65,0.65,0.02,0.05,0.21,0.08,0.42
ben_Beng,0.82,0.58,0.82,0.60,0.60,0.01,0.01,0.23,0.05,0.41
uzn_Latn,0.70,0.47,0.84,0.60,0.62,0.04,0.05,0.23,0.05,0.40
bho_Deva,0.51,0.46,0.89,0.68,0.65,0.02,0.03,0.26,0.08,0.40
gle_Latn,0.68,0.31,0.82,0.64,0.64,0.09,0.08,0.22,0.09,0.40
hye_Armn,0.85,0.59,0.79,0.60,0.58,0.01,0.02,0.10,0.01,0.40
hne_Deva,0.67,0.44,0.80,0.65,0.63,0.01,0.02,0.24,0.08,0.40
kaz_Cyrl,0.62,0.47,0.87,0.61,0.60,0.02,0.06,0.27,0.03,0.39
tpi_Latn,0.69,0.38,0.69,0.46,0.45,0.19,0.15,0.33,0.15,0.39
hau_Latn,0.68,0.41,0.77,0.58,0.54,0.12,0.11,0.17,0.06,0.38
mai_Deva,0.61,0.43,0.86,0.61,0.59,0.02,0.03,0.16,0.08,0.38
crh_Latn,0.58,0.42,0.77,0.56,0.51,0.03,0.07,0.35,0.05,0.37
ilo_Latn,0.61,0.32,0.74,0.47,0.46,0.17,0.15,0.24,0.13,0.37
tat_Cyrl,0.56,0.38,0.83,0.58,0.55,0.03,0.04,0.21,0.02,0.36
kat_Geor,0.73,0.45,0.72,0.53,0.50,0.01,0.04,0.18,0.01,0.35
ydd_Hebr,0.74,0.45,0.78,0.48,0.47,0.03,0.02,0.05,0.02,0.34
kir_Cyrl,0.53,0.33,0.81,0.58,0.57,0.01,0.04,0.13,0.02,0.34
pag_Latn,0.33,0.23,0.63,0.35,0.39,0.25,0.21,0.36,0.24,0.33
pan_Guru,0.78,0.50,0.75,0.47,0.40,0.01,0.00,0.03,0.05,0.33
bak_Cyrl,0.56,0.36,0.82,0.51,0.51,0.01,0.04,0.13,0.02,0.33
guj_Gujr,0.79,0.52,0.67,0.42,0.39,0.02,0.01,0.04,0.07,0.33
tam_Taml,0.78,0.54,0.72,0.38,0.38,0.02,0.01,0.08,0.03,0.33
pbt_Arab,0.50,0.23,0.82,0.57,0.57,0.02,0.03,0.10,0.07,0.32
tgk_Cyrl,0.62,0.27,0.78,0.51,0.52,0.02,0.03,0.10,0.05,0.32
tel_Telu,0.77,0.52,0.67,0.38,0.43,0.01,0.01,0.05,0.04,0.32
snd_Arab,0.59,0.30,0.78,0.53,0.50,0.02,0.01,0.06,0.04,0.31
kan_Knda,0.74,0.47,0.66,0.42,0.41,0.01,0.01,0.06,0.05,0.31
mal_Mlym,0.76,0.50,0.68,0.32,0.30,0.01,0.01,0.03,0.03,0.29
ckb_Arab,0.51,0.20,0.78,0.54,0.50,0.01,0.01,0.05,0.02,0.29
gla_Latn,0.46,0.14,0.71,0.46,0.45,0.08,0.07,0.13,0.07,0.29
asm_Beng,0.63,0.35,0.70,0.39,0.36,0.00,0.01,0.08,0.04,0.29
tuk_Latn,0.49,0.31,0.63,0.43,0.41,0.05,0.04,0.14,0.02,0.28
san_Deva,0.48,0.26,0.71,0.46,0.45,0.00,0.01,0.12,0.02,0.28
kmr_Latn,0.38,0.15,0.69,0.48,0.50,0.05,0.06,0.13,0.05,0.28
lus_Latn,0.53,0.09,0.56,0.34,0.33,0.14,0.10,0.24,0.11,0.27
khk_Cyrl,0.44,0.18,0.73,0.42,0.43,0.01,0.02,0.08,0.03,0.26
ltg_Latn,0.31,0.23,0.61,0.38,0.35,0.08,0.06,0.22,0.06,0.26
azb_Arab,0.37,0.28,0.60,0.44,0.44,0.00,0.01,0.11,0.02,0.25
plt_Latn,0.52,0.17,0.59,0.25,0.25,0.14,0.12,0.18,0.05,0.25
ibo_Latn,0.35,0.15,0.64,0.38,0.37,0.09,0.08,0.12,0.07,0.25
mri_Latn,0.35,0.11,0.60,0.38,0.35,0.12,0.10,0.18,0.07,0.25
som_Latn,0.42,0.14,0.60,0.24,0.24,0.11,0.08,0.18,0.09,0.23
ace_Latn,0.22,0.13,0.49,0.32,0.31,0.14,0.10,0.21,0.15,0.23
xho_Latn,0.49,0.19,0.47,0.20,0.20,0.12,0.10,0.13,0.05,0.22
nso_Latn,0.27,0.11,0.48,0.26,0.23,0.17,0.13,0.19,0.07,0.21
sot_Latn,0.34,0.12,0.53,0.22,0.20,0.14,0.10,0.18,0.05,0.21
zul_Latn,0.55,0.19,0.44,0.19,0.17,0.11,0.06,0.10,0.05,0.21
kin_Latn,0.37,0.10,0.53,0.20,0.23,0.11,0.09,0.15,0.06,0.21
sin_Sinh,0.56,0.27,0.49,0.26,0.18,0.01,0.01,0.03,0.02,0.20
smo_Latn,0.28,0.09,0.66,0.20,0.20,0.10,0.08,0.13,0.06,0.20
nya_Latn,0.36,0.13,0.41,0.19,0.19,0.13,0.10,0.17,0.06,0.19
twi_Latn,0.23,0.08,0.46,0.22,0.22,0.14,0.13,0.19,0.07,0.19
sna_Latn,0.41,0.17,0.40,0.19,0.20,0.10,0.08,0.12,0.07,0.19
uig_Arab,0.21,0.09,0.71,0.29,0.29,0.00,0.01,0.03,0.02,0.18
bug_Latn,0.14,0.12,0.35,0.22,0.22,0.14,0.11,0.20,0.12,0.18
luo_Latn,0.07,0.07,0.40,0.25,0.24,0.15,0.12,0.21,0.09,0.18
tsn_Latn,0.24,0.10,0.42,0.18,0.18,0.12,0.11,0.20,0.06,0.18
arb_Latn,0.29,0.07,0.46,0.24,0.20,0.05,0.05,0.17,0.08,0.18
khm_Khmr,0.34,0.15,0.59,0.15,0.16,0.01,0.02,0.09,0.06,0.17
lua_Latn,0.09,0.08,0.33,0.20,0.21,0.14,0.13,0.24,0.12,0.17
lug_Latn,0.17,0.07,0.41,0.18,0.19,0.14,0.09,0.19,0.06,0.17
grn_Latn,0.17,0.09,0.44,0.16,0.17,0.12,0.09,0.13,0.10,0.16
ssw_Latn,0.27,0.10,0.37,0.17,0.17,0.11,0.08,0.14,0.05,0.16
lin_Latn,0.11,0.08,0.43,0.16,0.18,0.12,0.11,0.16,0.08,0.16
ory_Orya,0.28,0.03,0.66,0.18,0.19,0.01,0.01,0.03,0.03,0.16
fij_Latn,0.13,0.06,0.38,0.18,0.16,0.14,0.11,0.15,0.08,0.15
fuv_Latn,0.07,0.08,0.30,0.20,0.20,0.13,0.10,0.18,0.10,0.15
kas_Arab,0.16,0.10,0.50,0.20,0.21,0.02,0.02,0.10,0.05,0.15
quy_Latn,0.10,0.06,0.42,0.21,0.22,0.10,0.06,0.13,0.05,0.15
aka_Latn,0.17,0.06,0.37,0.14,0.17,0.11,0.08,0.12,0.10,0.15
mya_Mymr,0.36,0.13,0.46,0.14,0.16,0.00,0.00,0.02,0.02,0.15
run_Latn,0.25,0.07,0.37,0.16,0.17,0.08,0.06,0.10,0.04,0.14
bem_Latn,0.14,0.08,0.29,0.16,0.16,0.13,0.11,0.15,0.06,0.14
kas_Deva,0.14,0.09,0.37,0.20,0.21,0.02,0.03,0.11,0.08,0.14
wol_Latn,0.09,0.07,0.30,0.18,0.16,0.12,0.10,0.17,0.07,0.14
kam_Latn,0.09,0.08,0.26,0.18,0.16,0.13,0.10,0.15,0.08,0.14
tso_Latn,0.14,0.06,0.35,0.14,0.13,0.11,0.08,0.13,0.06,0.13
kon_Latn,0.07,0.08,0.27,0.15,0.17,0.09,0.07,0.13,0.09,0.13
tum_Latn,0.15,0.07,0.32,0.11,0.13,0.09,0.08,0.11,0.05,0.13
kik_Latn,0.07,0.04,0.32,0.12,0.13,0.10,0.09,0.13,0.12,0.12
taq_Latn,0.06,0.06,0.28,0.14,0.12,0.11,0.08,0.14,0.05,0.12
mos_Latn,0.04,0.04,0.25,0.16,0.14,0.11,0.09,0.15,0.07,0.12
yor_Latn,0.13,0.04,0.30,0.14,0.14,0.08,0.06,0.10,0.04,0.11
amh_Ethi,0.48,0.16,0.24,0.04,0.03,0.01,0.02,0.03,0.02,0.11
sag_Latn,0.05,0.07,0.22,0.17,0.17,0.07,0.07,0.09,0.06,0.11
cjk_Latn,0.06,0.06,0.21,0.13,0.12,0.10,0.08,0.13,0.07,0.11
umb_Latn,0.05,0.05,0.20,0.15,0.14,0.10,0.08,0.11,0.05,0.10
dyu_Latn,0.04,0.04,0.22,0.13,0.12,0.06,0.07,0.10,0.08,0.10
kac_Latn,0.02,0.03,0.22,0.12,0.14,0.06,0.06,0.12,0.08,0.09
kmb_Latn,0.05,0.06,0.20,0.11,0.10,0.10,0.07,0.09,0.05,0.09
bam_Latn,0.05,0.05,0.18,0.11,0.09,0.08,0.08,0.12,0.04,0.09
ayr_Latn,0.04,0.04,0.20,0.11,0.10,0.06,0.05,0.10,0.06,0.08
lao_Laoo,0.17,0.04,0.22,0.07,0.09,0.02,0.02,0.04,0.09,0.08
dik_Latn,0.05,0.06,0.18,0.06,0.07,0.08,0.07,0.10,0.05,0.08
ewe_Latn,0.04,0.03,0.18,0.08,0.08,0.09,0.07,0.08,0.04,0.08
knc_Latn,0.05,0.06,0.15,0.08,0.08,0.07,0.06,0.08,0.05,0.08
kab_Latn,0.04,0.02,0.17,0.09,0.08,0.06,0.06,0.11,0.04,0.07
sat_Olck,0.19,0.02,0.32,0.05,0.05,0.00,0.00,0.01,0.01,0.07
gaz_Latn,0.05,0.03,0.20,0.06,0.06,0.05,0.04,0.08,0.03,0.07
bod_Tibt,0.07,0.01,0.22,0.08,0.08,0.01,0.01,0.02,0.02,0.06
fon_Latn,0.03,0.02,0.14,0.06,0.06,0.03,0.04,0.05,0.07,0.06
shn_Mymr,0.02,0.01,0.21,0.06,0.06,0.01,0.02,0.03,0.07,0.05
kbp_Latn,0.03,0.02,0.14,0.05,0.04,0.03,0.02,0.08,0.05,0.05
mni_Beng,0.03,0.02,0.12,0.05,0.06,0.01,0.02,0.08,0.02,0.05
ace_Arab,0.03,0.02,0.15,0.07,0.07,0.00,0.00,0.03,0.01,0.04
knc_Arab,0.01,0.01,0.13,0.04,0.04,0.02,0.02,0.05,0.05,0.04
bjn_Arab,0.03,0.02,0.11,0.05,0.08,0.01,0.01,0.05,0.01,0.04
nus_Latn,0.02,0.02,0.07,0.04,0.03,0.03,0.02,0.04,0.05,0.03
min_Arab,0.02,0.01,0.13,0.05,0.04,0.01,0.00,0.03,0.01,0.03
tir_Ethi,0.10,0.02,0.05,0.02,0.02,0.01,0.01,0.02,0.02,0.03
dzo_Tibt,0.01,0.00,0.08,0.03,0.03,0.00,0.00,0.01,0.01,0.02
taq_Tfng,0.00,0.00,0.04,0.01,0.01,0.00,0.00,0.01,0.03,0.01
zgh_Tfng,0.00,0.00,0.02,0.01,0.01,0.00,0.00,0.01,0.01,0.01
